poi_idx,cat_idx,region_idx,hotness_idx
0,236,60,0
1,48,35,1
2,21,60,0
3,37,34,1
4,107,34,1
5,47,35,0
6,233,34,1
7,131,34,0
8,39,44,1
9,37,34,1
10,37,34,0
11,37,60,2
12,48,60,0
13,231,35,1
14,47,35,1
15,37,60,1
16,239,34,1
17,61,35,0
18,195,60,0
19,233,35,1
20,207,34,0
21,47,34,0
22,197,35,0
23,41,34,0
24,47,34,1
25,239,34,0
26,37,34,1
27,131,34,0
28,98,34,1
29,221,34,1
30,311,35,1
31,37,34,0
32,37,61,3
33,247,35,1
34,50,34,0
35,41,34,0
36,312,34,1
37,37,60,0
38,215,34,3
39,41,34,0
40,20,60,0
41,42,35,1
42,37,34,0
43,133,35,0
44,231,34,0
45,202,34,0
46,195,35,0
47,130,35,0
48,233,34,12
49,37,34,1
50,37,60,0
51,93,34,0
52,37,60,1
53,95,34,1
54,262,34,2
55,41,34,0
56,190,60,0
57,47,60,0
58,55,34,1
59,51,60,0
60,93,35,0
61,130,35,0
62,205,35,0
63,41,35,0
64,195,34,0
65,102,60,0
66,48,35,0
67,106,34,1
68,37,34,0
69,37,34,0
70,48,34,0
71,223,35,0
72,97,34,1
73,192,35,1
74,195,34,0
75,97,34,2
76,21,34,4
77,37,34,0
78,260,60,1
79,110,34,0
80,37,34,1
81,203,34,0
82,203,34,0
83,55,34,0
84,47,34,0
85,110,34,4
86,21,34,1
87,211,34,0
88,312,34,1
89,58,34,1
90,37,35,2
91,209,34,1
92,203,34,0
93,131,34,0
94,47,34,0
95,95,34,0
96,195,34,0
97,102,36,0
98,37,34,0
99,221,34,0
100,233,35,0
101,198,35,1
102,207,34,0
103,37,34,1
104,198,35,6
105,203,34,0
106,41,34,0
107,138,35,1
108,21,34,4
109,50,35,0
110,55,60,0
111,47,35,0
112,37,34,1
113,207,35,1
114,133,35,0
115,207,34,0
116,23,34,0
117,142,35,0
118,221,34,2
119,195,34,0
120,102,45,0
121,47,35,1
122,97,34,0
123,239,34,1
124,37,34,1
125,128,34,1
126,41,35,0
127,95,35,1
128,47,34,0
129,37,35,0
130,47,35,0
131,37,34,0
132,131,35,2
133,109,34,0
134,130,60,0
135,159,43,0
136,141,34,0
137,205,34,0
138,27,35,0
139,215,34,1
140,101,35,0
141,239,34,0
142,102,35,0
143,133,34,1
144,37,34,1
145,102,34,0
146,99,34,0
147,233,35,0
148,48,35,1
149,37,60,1
150,37,34,0
151,110,34,0
152,195,35,0
153,37,35,0
154,95,34,0
155,51,34,0
156,311,35,0
157,48,34,1
158,37,34,0
159,17,34,1
160,224,60,0
161,197,60,1
162,260,60,1
163,27,60,0
164,97,35,0
165,260,35,0
166,37,34,1
167,37,60,0
168,207,34,0
169,37,34,2
170,102,34,1
171,203,34,1
172,37,34,1
173,93,34,1
174,102,34,2
175,37,34,1
176,252,34,0
177,41,60,0
178,221,35,0
179,121,35,15
180,37,60,0
181,121,60,1
182,121,60,0
183,224,60,3
184,239,34,1
185,47,35,0
186,108,60,1
187,239,34,0
188,102,34,0
189,239,34,0
190,157,45,18
191,37,34,0
192,121,34,21
193,41,34,0
194,37,34,1
195,48,45,0
196,37,60,0
197,37,34,0
198,215,60,1
199,97,60,0
200,203,34,0
201,102,34,0
202,215,60,1
203,40,35,1
204,37,34,1
205,215,60,1
206,37,35,0
207,215,60,2
208,37,34,1
209,93,34,0
210,233,34,0
211,37,34,0
212,130,35,0
213,37,43,0
214,130,60,0
215,50,34,0
216,37,34,0
217,52,34,0
218,37,33,0
219,223,33,0
220,128,34,1
221,48,35,0
222,39,34,0
223,121,34,4
224,39,34,1
225,121,34,1
226,178,34,1
227,58,34,1
228,37,43,1
229,55,60,1
230,52,61,5
231,93,34,0
232,121,34,10
233,147,35,9
234,121,34,24
235,37,34,1
236,37,35,0
237,195,34,0
238,33,34,1
239,233,34,0
240,37,35,0
241,92,60,1
242,35,35,1
243,37,60,0
244,215,34,2
245,137,34,2
246,97,44,0
247,55,35,0
248,229,34,1
249,130,34,5
250,239,34,1
251,39,35,1
252,59,60,0
253,93,60,0
254,121,60,10
255,48,34,0
256,47,35,0
257,55,35,1
258,37,60,0
259,215,34,1
260,142,33,0
261,37,35,0
262,27,60,0
263,37,34,0
264,37,33,2
265,37,60,3
266,37,35,1
267,47,34,1
268,37,34,1
269,52,60,1
270,233,35,0
271,255,35,10
272,215,43,1
273,25,34,0
274,37,60,2
275,121,33,2
276,37,43,0
277,55,34,0
278,29,34,0
279,121,35,10
280,260,60,0
281,37,35,0
282,47,34,0
283,37,60,0
284,261,60,7
285,47,34,2
286,37,34,1
287,247,35,3
288,289,60,6
289,37,34,8
290,102,34,0
291,148,35,1
292,47,44,2
293,131,34,0
294,37,46,0
295,195,60,1
296,104,34,0
297,216,34,0
298,221,36,0
299,130,35,0
300,37,34,0
301,37,35,0
302,50,60,0
303,48,34,0
304,215,34,0
305,52,34,0
306,55,60,0
307,215,34,2
308,215,35,1
309,159,35,2
310,215,34,3
311,183,36,0
312,146,34,0
313,58,34,0
314,37,34,0
315,121,33,1
316,259,35,1
317,215,61,0
318,128,34,1
319,259,33,1
320,158,34,0
321,207,60,0
322,55,35,0
323,110,35,0
324,102,35,0
325,37,36,4
326,37,36,0
327,37,34,1
328,217,35,0
329,37,34,0
330,37,34,0
331,27,60,0
332,59,35,0
333,55,34,0
334,47,60,1
335,113,33,2
336,48,34,1
337,215,35,4
338,37,34,1
339,159,35,4
340,221,34,0
341,41,34,1
342,159,33,2
343,221,34,0
344,43,34,0
345,223,35,0
346,61,35,1
347,215,60,1
348,61,60,10
349,70,35,27
350,183,34,0
351,269,61,5
352,249,35,1
353,239,34,0
354,121,33,10
355,102,35,3
356,260,35,6
357,70,35,28
358,160,35,2
359,128,43,2
360,37,34,1
361,137,35,2
362,239,34,1
363,61,35,1
364,37,33,0
365,107,33,1
366,121,60,1
367,38,35,0
368,228,14,1
369,145,60,1
370,27,35,0
371,195,60,1
372,131,43,0
373,211,60,0
374,80,35,0
375,121,34,1
376,50,34,0
377,105,34,1
378,61,60,0
379,52,60,0
380,121,44,1
381,121,34,1
382,311,35,0
383,48,34,0
384,78,33,0
385,48,34,0
386,207,35,0
387,141,44,0
388,132,34,1
389,37,34,0
390,233,35,1
391,80,34,10
392,37,34,0
393,80,35,1
394,102,60,0
395,223,60,0
396,260,35,1
397,239,34,0
398,52,35,8
399,108,60,1
400,195,35,1
401,146,33,0
402,260,35,8
403,53,34,0
404,48,34,1
405,242,3,24
406,147,34,9
407,42,34,5
408,210,34,0
409,224,60,3
410,217,34,0
411,266,35,4
412,27,34,0
413,215,35,2
414,166,34,2
415,97,35,0
416,147,34,2
417,208,34,0
418,141,34,1
419,195,34,1
420,198,34,2
421,195,34,0
422,70,33,5
423,52,68,0
424,35,34,3
425,145,35,0
426,37,34,0
427,47,35,0
428,47,35,0
429,35,35,0
430,42,34,4
431,47,35,0
432,195,60,1
433,183,33,2
434,225,35,2
435,242,67,11
436,55,34,1
437,42,59,0
438,58,35,10
439,61,35,0
440,37,33,1
441,275,34,1
442,143,19,1
443,85,35,0
444,195,34,0
445,193,34,0
446,102,60,0
447,197,34,0
448,138,34,1
449,203,34,0
450,102,60,0
451,319,59,1
452,58,60,0
453,208,34,1
454,223,43,0
455,260,34,0
456,106,35,0
457,106,35,1
458,253,34,2
459,223,34,0
460,35,33,0
461,173,60,0
462,37,34,0
463,223,34,2
464,215,34,1
465,215,35,2
466,99,34,0
467,92,60,0
468,130,34,0
469,87,60,0
470,128,60,1
471,41,60,0
472,47,44,0
473,223,35,1
474,63,60,8
475,48,60,0
476,173,40,0
477,146,35,4
478,266,17,5
479,78,35,2
480,42,35,4
481,255,35,6
482,4,34,0
483,4,34,1
484,48,34,2
485,147,34,5
486,198,34,0
487,37,34,0
488,7,34,2
489,138,34,7
490,37,34,1
491,37,60,3
492,55,35,0
493,177,34,1
494,134,35,0
495,255,35,1
496,255,35,1
497,27,36,0
498,37,34,1
499,110,33,0
500,47,33,0
501,107,35,0
502,137,35,0
503,253,34,0
504,50,34,0
505,239,34,0
506,59,34,0
507,92,34,4
508,148,34,0
509,223,17,0
510,102,60,0
511,147,35,4
512,37,34,0
513,223,34,1
514,223,34,1
515,59,34,1
516,195,34,0
517,37,60,0
518,37,60,0
519,266,10,1
520,203,60,0
521,91,88,0
522,47,60,1
523,102,40,1
524,221,34,0
525,223,34,1
526,42,34,3
527,42,34,2
528,30,35,0
529,102,44,0
530,102,35,2
531,138,28,1
532,203,44,0
533,102,35,0
534,223,60,0
535,146,34,1
