poi_idx,cat_idx,region_idx,hotness_idx
0,234,60,0
1,47,35,0
2,21,60,0
3,36,34,1
4,106,34,0
5,46,35,0
6,231,34,0
7,130,34,0
8,38,44,1
9,36,34,0
10,36,34,0
11,36,60,1
12,47,60,0
13,229,35,0
14,46,35,0
15,36,60,1
16,237,34,1
17,60,35,0
18,193,60,0
19,231,35,1
20,205,34,0
21,46,34,0
22,195,35,0
23,40,34,0
24,46,34,0
25,237,34,0
26,36,34,0
27,130,34,0
28,97,34,0
29,219,34,1
30,309,35,0
31,36,34,0
32,36,61,2
33,245,35,1
34,49,34,0
35,40,34,0
36,310,34,1
37,36,60,0
38,213,34,2
39,40,34,0
40,20,60,0
41,41,35,1
42,36,34,0
43,132,35,0
44,229,34,0
45,200,34,0
46,193,35,0
47,129,35,0
48,231,34,10
49,36,34,0
50,36,60,0
51,92,34,0
52,36,60,0
53,94,34,0
54,260,34,1
55,40,34,0
56,188,60,0
57,46,60,0
58,54,34,1
59,50,60,0
60,92,35,0
61,129,35,0
62,203,35,0
63,40,35,0
64,193,34,0
65,101,60,0
66,47,35,0
67,105,34,1
68,36,34,0
69,36,34,0
70,47,34,0
71,221,35,0
72,96,34,0
73,190,35,0
74,193,34,0
75,96,34,2
76,21,34,4
77,36,34,0
78,258,60,0
79,109,34,0
80,36,34,0
81,201,34,0
82,201,34,0
83,54,34,0
84,46,34,0
85,109,34,2
86,21,34,1
87,209,34,0
88,310,34,1
89,57,34,1
90,36,35,2
91,207,34,1
92,201,34,0
93,130,34,0
94,46,34,0
95,94,34,0
96,193,34,0
97,101,36,0
98,36,34,0
99,219,34,0
100,231,35,0
101,196,35,1
102,205,34,0
103,36,34,0
104,196,35,4
105,201,34,0
106,40,34,0
107,137,35,0
108,21,34,3
109,49,35,0
110,54,60,0
111,46,35,0
112,36,34,1
113,205,35,0
114,132,35,0
115,205,34,0
116,23,34,0
117,141,35,0
118,219,34,1
119,193,34,0
120,101,45,0
121,46,35,1
122,96,34,0
123,237,34,0
124,36,34,0
125,127,34,1
126,40,35,0
127,94,35,1
128,46,34,0
129,36,35,0
130,46,35,0
131,36,34,0
132,130,35,2
133,108,34,0
134,129,60,0
135,158,43,0
136,140,34,0
137,203,34,0
138,26,35,0
139,213,34,0
140,100,35,0
141,237,34,0
142,101,35,0
143,132,34,1
144,36,34,0
145,101,34,0
146,98,34,0
147,231,35,0
148,47,35,0
149,36,60,0
150,36,34,0
151,109,34,0
152,193,35,0
153,36,35,0
154,94,34,0
155,50,34,0
156,309,35,0
157,47,34,1
158,36,34,0
159,17,34,1
160,222,60,0
161,195,60,0
162,258,60,1
163,26,60,0
164,96,35,0
165,258,35,0
166,36,34,0
167,36,60,0
168,205,34,0
169,36,34,1
170,101,34,0
171,201,34,0
172,36,34,1
173,92,34,0
174,101,34,1
175,36,34,0
176,250,34,0
177,40,60,0
178,219,35,0
179,120,35,13
180,36,60,0
181,120,60,1
182,120,60,0
183,222,60,2
184,237,34,0
185,46,35,0
186,107,60,1
187,237,34,0
188,101,34,0
189,237,34,0
190,156,45,13
191,36,34,0
192,120,34,20
193,40,34,0
194,36,34,1
195,47,45,0
196,36,60,0
197,36,34,0
198,213,60,0
199,96,60,0
200,201,34,0
201,101,34,0
202,213,60,1
203,39,35,1
204,36,34,0
205,213,60,1
206,36,35,0
207,213,60,1
208,36,34,1
209,92,34,0
210,231,34,0
211,36,34,0
212,129,35,0
213,36,43,0
214,129,60,0
215,49,34,0
216,36,34,0
217,51,34,0
218,36,33,0
219,221,33,0
220,127,34,0
221,47,35,0
222,38,34,0
223,120,34,3
224,38,34,1
225,120,34,0
226,177,34,1
227,57,34,1
228,36,43,0
229,54,60,0
230,51,61,5
231,92,34,0
232,120,34,7
233,146,35,7
234,120,34,25
235,36,34,1
236,36,35,0
237,193,34,0
238,32,34,1
239,231,34,0
240,36,35,0
241,91,60,0
242,34,35,2
243,36,60,0
244,213,34,2
245,136,34,1
246,96,44,0
247,54,35,0
248,227,34,1
249,129,34,4
250,237,34,1
251,38,35,1
252,58,60,0
253,92,60,0
254,120,60,8
255,47,34,0
256,46,35,0
257,54,35,1
258,36,60,0
259,213,34,1
260,141,33,0
261,36,35,0
262,26,60,0
263,36,34,0
264,36,33,1
265,36,60,2
266,36,35,0
267,46,34,0
268,36,34,1
269,51,60,1
270,231,35,0
271,253,35,9
272,213,43,1
273,24,34,0
274,36,60,2
275,120,33,1
276,36,43,0
277,54,34,0
278,28,34,0
279,120,35,8
280,258,60,0
281,36,35,0
282,46,34,0
283,36,60,0
284,259,60,6
285,46,34,1
286,36,34,0
287,245,35,3
288,287,60,5
289,36,34,4
290,101,34,0
291,147,35,0
292,46,44,2
293,130,34,0
294,193,60,0
295,103,34,0
296,214,34,0
297,219,36,0
298,129,35,0
299,36,34,0
300,36,35,0
301,49,60,0
302,47,34,0
303,213,34,0
304,51,34,0
305,54,60,0
306,213,34,1
307,213,35,1
308,158,35,1
309,213,34,2
310,182,36,0
311,145,34,0
312,57,34,0
313,36,34,0
314,120,33,0
315,257,35,1
316,213,61,0
317,127,34,0
318,257,33,0
319,157,34,0
320,205,60,0
321,54,35,0
322,109,35,0
323,101,35,0
324,36,36,3
325,36,36,0
326,36,34,1
327,215,35,0
328,36,34,0
329,36,34,0
330,26,60,0
331,58,35,0
332,54,34,0
333,46,60,0
334,112,33,1
335,47,34,1
336,213,35,4
337,36,34,1
338,158,35,3
339,219,34,0
340,40,34,1
341,158,33,1
342,219,34,0
343,42,34,0
344,221,35,0
345,60,35,0
346,213,60,0
347,60,60,9
348,69,35,28
349,182,34,0
350,267,61,4
351,247,35,1
352,237,34,0
353,120,33,5
354,101,35,2
355,258,35,5
356,69,35,29
357,159,35,2
358,127,43,2
359,36,34,0
360,136,35,2
361,237,34,1
362,60,35,1
363,36,33,0
364,106,33,0
365,120,60,0
366,37,35,0
367,226,14,1
368,144,60,1
369,26,35,0
370,193,60,0
371,130,43,0
372,209,60,0
373,79,35,0
374,120,34,1
375,49,34,0
376,104,34,1
377,60,60,0
378,51,60,0
379,120,44,0
380,120,34,1
381,309,35,0
382,47,34,0
383,77,33,0
384,47,34,0
385,205,35,0
386,140,44,0
387,131,34,1
388,36,34,0
389,231,35,0
390,79,34,9
391,36,34,0
392,79,35,0
393,101,60,0
394,221,60,0
395,258,35,0
396,237,34,0
397,51,35,7
398,107,60,0
399,193,35,0
400,145,33,0
401,258,35,7
402,52,34,0
403,47,34,0
404,240,3,21
405,146,34,6
406,41,34,4
407,208,34,0
408,222,60,2
409,215,34,0
410,264,35,3
411,26,34,0
412,213,35,1
413,165,34,2
414,96,35,0
415,146,34,1
416,206,34,0
417,140,34,0
418,193,34,0
419,196,34,2
420,193,34,0
421,69,33,5
422,51,68,0
423,34,34,2
424,144,35,0
425,36,34,0
426,46,35,0
427,46,35,0
428,34,35,0
429,41,34,3
430,46,35,0
431,193,60,1
432,182,33,1
433,223,35,2
434,240,67,7
435,54,34,1
436,41,59,0
437,57,35,8
438,60,35,0
439,36,33,0
440,273,34,0
441,142,19,0
442,84,35,0
443,193,34,0
444,191,34,0
445,101,60,0
446,195,34,0
447,137,34,0
448,201,34,0
449,101,60,0
450,316,59,1
451,57,60,0
452,206,34,1
453,221,43,0
454,258,34,0
455,105,35,0
456,105,35,1
457,251,34,2
458,221,34,0
459,34,33,0
460,172,60,0
461,36,34,0
462,221,34,1
463,213,34,1
464,213,35,1
465,98,34,0
466,91,60,0
467,129,34,0
468,86,60,0
469,127,60,1
470,40,60,0
471,46,44,0
472,221,35,1
473,62,60,6
474,47,60,0
475,172,40,0
476,145,35,2
477,264,17,4
478,77,35,1
479,41,35,3
480,253,35,5
481,4,34,0
482,4,34,0
483,47,34,1
484,146,34,4
485,196,34,0
486,36,34,0
487,7,34,1
488,137,34,4
489,36,34,1
490,36,60,3
491,176,34,0
492,133,35,0
493,253,35,1
494,253,35,0
495,26,36,0
496,36,34,1
497,109,33,0
498,46,33,0
499,106,35,0
500,136,35,0
501,251,34,0
502,49,34,0
503,237,34,0
504,58,34,0
505,91,34,2
506,147,34,0
507,221,17,0
508,101,60,0
509,146,35,3
510,36,34,0
511,221,34,1
512,221,34,1
513,58,34,0
514,193,34,0
515,36,60,0
516,36,60,0
517,264,10,0
518,201,60,0
519,90,88,0
520,46,60,0
521,101,40,1
522,219,34,0
523,221,34,1
524,41,34,3
525,41,34,2
526,29,35,0
527,101,44,0
528,101,35,1
529,137,28,1
530,201,44,0
531,101,35,0
532,221,60,0
533,145,34,0
534,21,35,0
535,120,60,0
536,144,34,0
537,94,34,0
538,137,35,0
539,119,44,0
540,219,34,1
541,231,60,0
542,36,34,1
543,137,35,0
544,101,33,1
545,52,34,1
546,36,34,0
547,60,35,1
548,36,35,0
549,49,43,0
550,47,35,0
551,95,33,1
552,136,35,1
553,58,60,0
554,229,34,0
555,26,34,0
556,47,35,0
557,93,35,0
558,56,34,1
559,205,34,0
560,98,34,0
561,231,34,0
562,309,35,1
563,137,60,0
564,47,34,1
565,207,34,0
566,96,35,0
567,38,34,1
568,158,34,0
569,231,34,0
570,101,34,0
571,101,35,0
572,98,33,0
573,101,34,6
574,201,43,1
575,231,34,0
576,36,60,0
577,221,34,0
578,201,34,2
579,38,33,1
580,258,35,4
581,146,44,2
582,94,34,0
583,254,33,0
584,265,35,26
585,149,53,1
586,231,60,0
587,255,59,1
588,101,60,0
589,245,33,0
590,127,35,0
591,182,35,1
592,221,60,0
593,54,34,0
594,54,34,1
595,51,35,1
596,84,35,2
597,49,60,0
598,208,35,0
599,49,34,0
600,36,34,0
601,85,35,0
602,237,34,1
603,101,34,0
604,244,60,0
605,237,33,0
606,46,34,0
607,221,34,0
608,182,34,1
609,47,35,0
610,79,34,0
611,196,34,0
612,49,34,0
613,129,35,0
614,221,60,0
615,107,60,0
616,36,34,1
617,221,34,0
618,86,33,0
619,60,34,4
620,121,35,3
621,121,35,22
622,41,34,0
623,58,60,0
624,258,35,0
625,101,33,0
626,244,60,4
627,60,35,0
628,219,35,0
629,136,34,1
630,65,60,2
631,137,34,0
632,251,33,0
633,110,34,0
634,41,60,1
635,206,60,0
636,136,34,2
637,237,34,0
638,189,34,1
639,193,34,0
640,32,34,0
641,54,35,0
642,60,35,0
643,238,3,4
644,41,33,1
645,51,60,0
646,36,35,0
647,60,46,4
648,259,34,4
649,57,60,2
650,129,35,0
651,219,34,0
652,101,34,0
653,140,34,0
654,35,34,0
655,221,60,0
656,121,35,8
657,36,60,0
658,36,34,0
659,96,32,1
660,26,44,0
661,137,34,1
662,200,33,0
663,36,33,0
664,129,35,2
665,136,60,1
666,136,34,2
667,221,44,0
668,36,34,2
669,258,35,0
670,253,35,4
671,196,34,0
672,36,34,0
673,49,34,0
674,46,34,1
675,36,35,1
676,221,60,1
677,75,60,2
678,30,34,0
679,47,33,0
680,101,35,0
681,200,34,1
682,91,60,0
683,221,35,1
684,101,55,0
685,130,33,1
686,201,31,0
687,36,35,1
688,49,34,0
689,60,60,3
690,258,35,0
691,30,34,1
692,130,34,0
693,221,60,1
694,221,34,1
695,221,34,0
696,258,60,3
697,36,51,1
698,156,27,9
699,225,35,0
700,219,34,1
701,19,35,2
702,7,34,1
703,221,34,0
704,219,34,0
705,129,35,0
706,120,36,1
707,290,34,0
708,200,35,0
709,49,43,0
710,146,34,0
711,120,34,0
712,136,33,0
713,101,34,0
714,207,34,0
715,221,34,1
716,145,78,1
717,36,34,0
718,182,36,0
719,30,34,0
720,221,34,1
721,201,34,0
722,69,45,12
723,221,35,0
724,94,35,0
725,221,43,0
726,112,20,0
727,146,35,5
728,9,60,0
729,127,26,0
730,246,34,0
731,121,34,6
732,221,34,6
733,21,34,0
734,82,33,0
735,221,34,1
736,226,31,12
737,130,35,1
738,137,35,2
739,264,60,5
740,127,35,0
741,34,34,0
742,221,34,1
743,58,35,0
744,32,34,0
745,203,35,0
746,182,60,3
747,145,60,1
748,182,32,0
749,96,17,0
750,36,35,0
751,36,43,0
752,96,43,0
753,259,33,0
754,258,60,0
755,36,34,0
756,308,31,0
757,173,33,2
758,21,60,0
759,219,35,1
760,220,34,8
761,288,3,0
762,208,34,0
763,221,33,2
764,95,35,1
765,221,34,0
766,221,60,0
767,97,35,3
768,120,44,0
769,15,34,0
770,60,35,3
771,130,34,1
772,216,35,1
773,95,34,0
774,221,35,0
775,34,35,0
776,258,35,0
777,200,35,0
778,219,35,0
779,162,35,1
780,60,35,3
781,137,60,0
782,137,34,0
783,137,34,2
784,140,44,0
785,40,35,1
786,221,60,0
787,43,34,0
788,95,12,0
789,25,12,0
790,52,34,0
791,36,35,0
792,101,35,0
793,147,35,0
794,95,35,2
795,36,60,0
796,144,60,1
797,149,68,3
798,253,34,0
799,69,68,8
800,40,44,0
801,130,60,0
802,41,36,0
803,36,35,0
804,258,60,0
805,136,34,0
806,53,60,1
807,96,35,0
808,119,34,0
809,136,35,0
810,120,46,1
811,94,61,0
812,137,60,1
813,129,42,0
814,137,35,2
815,253,60,1
816,49,43,0
817,20,34,0
818,46,35,0
819,196,33,0
820,101,34,0
821,129,60,0
822,7,34,2
823,283,34,3
824,7,34,1
825,36,34,7
826,7,35,0
827,96,60,1
828,60,34,0
829,35,60,0
830,136,35,1
831,211,34,0
832,136,60,2
833,39,35,2
834,95,34,2
835,127,35,0
836,120,35,5
837,145,35,0
838,254,34,0
839,46,35,0
840,87,42,1
841,86,34,0
842,264,55,8
843,38,44,1
844,102,43,0
845,136,33,0
846,142,35,0
847,193,35,1
848,121,60,0
849,86,35,0
850,60,60,1
851,258,35,18
852,60,60,1
853,130,34,0
854,258,34,1
855,253,46,1
856,146,40,2
857,106,34,0
858,41,59,0
859,36,34,0
860,60,34,0
861,221,33,0
862,96,33,0
863,201,34,0
864,131,34,0
865,26,60,0
866,36,88,0
867,7,35,0
868,193,60,0
869,201,36,0
870,221,27,1
871,221,34,1
872,34,6,1
873,264,34,2
874,238,3,1
875,127,35,1
876,202,35,1
877,201,34,0
878,120,36,3
879,129,34,0
880,229,34,1
881,82,36,0
882,96,34,1
883,60,60,0
884,221,34,0
885,200,34,1
886,136,33,1
887,193,35,0
888,221,34,0
889,31,34,1
890,118,35,2
891,46,35,0
892,255,34,1
893,41,60,0
894,32,35,0
895,206,34,0
896,232,60,0
897,83,34,1
898,83,35,0
899,97,34,2
900,120,34,1
901,255,35,1
902,193,35,0
903,136,60,0
904,200,34,0
905,94,35,1
906,146,60,0
907,120,35,1
908,43,34,0
909,220,34,14
910,205,35,0
911,129,35,1
912,220,37,7
913,31,35,0
914,4,60,1
915,287,61,0
916,151,34,1
917,221,35,0
918,95,34,1
919,46,35,0
920,3,34,1
921,137,34,0
922,162,34,8
923,136,35,0
924,41,34,0
925,60,35,1
926,95,34,0
927,268,34,3
928,213,60,0
929,84,33,2
930,101,36,0
931,82,35,1
932,253,35,2
933,121,34,0
934,140,33,0
935,231,34,0
936,255,35,0
937,221,35,1
938,221,34,1
939,221,34,2
940,140,35,0
941,264,41,1
942,216,34,1
943,189,34,0
944,140,44,2
945,54,60,1
946,145,34,3
947,120,35,1
948,200,33,0
949,137,44,2
950,202,35,1
951,47,35,0
952,21,34,0
953,30,35,0
954,137,34,3
955,137,35,3
956,219,35,0
957,147,42,0
958,102,36,0
959,255,34,0
960,193,35,0
961,101,35,0
962,162,34,0
963,220,34,11
964,220,35,7
965,220,34,0
966,220,58,9
967,38,60,0
968,190,35,0
969,26,60,1
970,238,3,2
971,137,33,0
972,114,46,0
973,4,34,0
974,120,33,0
975,121,60,0
976,145,36,0
977,287,49,11
978,41,36,1
979,256,61,24
