item,idx
-73.65_40.7,0
-73.65_40.75,1
-73.75_40.55,2
-73.75_40.6,3
-73.75_40.65,4
-73.75_40.7,5
-73.75_40.75,6
-73.75_40.8,7
-73.75_40.85,8
-73.75_40.9,9
-73.7_40.65,10
-73.7_40.7,11
-73.7_40.75,12
-73.7_40.85,13
-73.85_40.55,14
-73.85_40.6,15
-73.85_40.65,16
-73.85_40.7,17
-73.85_40.75,18
-73.85_40.8,19
-73.85_40.85,20
-73.85_40.9,21
-73.85_40.95,22
-73.8_40.55,23
-73.8_40.6,24
-73.8_40.65,25
-73.8_40.7,26
-73.8_40.75,27
-73.8_40.8,28
-73.8_40.85,29
-73.8_40.9,30
-73.95_40.55,31
-73.95_40.6,32
-73.95_40.65,33
-73.95_40.7,34
-73.95_40.75,35
-73.95_40.8,36
-73.95_40.85,37
-73.95_40.9,38
-73.95_40.95,39
-73.9_40.55,40
-73.9_40.6,41
-73.9_40.65,42
-73.9_40.7,43
-73.9_40.75,44
-73.9_40.8,45
-73.9_40.85,46
-73.9_40.9,47
-74.05_40.55,48
-74.05_40.6,49
-74.05_40.65,50
-74.05_40.7,51
-74.05_40.75,52
-74.05_40.8,53
-74.05_40.85,54
-74.05_40.9,55
-74.05_40.95,56
-74.0_40.55,57
-74.0_40.6,58
-74.0_40.65,59
-74.0_40.7,60
-74.0_40.75,61
-74.0_40.8,62
-74.0_40.85,63
-74.0_40.9,64
-74.15_40.55,65
-74.15_40.6,66
-74.15_40.65,67
-74.15_40.7,68
-74.15_40.75,69
-74.15_40.8,70
-74.15_40.85,71
-74.15_40.9,72
-74.1_40.55,73
-74.1_40.6,74
-74.1_40.65,75
-74.1_40.7,76
-74.1_40.75,77
-74.1_40.8,78
-74.1_40.85,79
-74.1_40.9,80
-74.1_40.95,81
-74.25_40.7,82
-74.25_40.75,83
-74.2_40.6,84
-74.2_40.65,85
-74.2_40.7,86
-74.2_40.75,87
-74.2_40.8,88
-74.2_40.85,89
-74.2_40.9,90
