poi_idx,region_idx,hotness_idx
0,815,1
1,1239,1
2,776,0
3,1008,1
4,815,1
5,815,1
6,1208,2
7,1128,1
8,1322,1
9,814,0
10,1315,0
11,1403,0
12,917,0
13,1208,0
14,1125,1
15,1319,0
16,1005,0
17,1458,0
18,1319,2
19,1301,3
20,771,1
21,808,1
22,1320,1
23,1579,1
24,577,1
25,568,0
26,753,1
27,1124,1
28,1507,0
29,770,0
30,771,0
31,1516,0
32,664,0
33,1458,7
34,1159,1
35,959,4
36,1459,1
37,932,20
38,1378,9
39,1731,0
40,1403,1
41,699,3
42,1235,1
43,1516,92
44,1297,89
45,1321,4
46,1006,29
47,1006,1
48,1471,9
49,874,0
50,1006,0
51,771,0
52,1296,0
53,1208,2
54,960,3
55,920,0
56,771,1
57,771,0
58,771,1
59,1517,1
60,771,0
61,873,1
62,1517,0
63,976,10
64,1296,2
65,1515,1
66,873,0
67,1319,2
68,963,0
69,1082,1
70,1515,4
71,770,4
72,960,0
73,1376,1
74,476,57
75,770,1
76,1043,18
77,643,3
78,767,2
79,727,8
80,352,40
81,374,35
82,878,0
83,563,7
84,636,5
85,497,0
86,879,8
87,776,2
88,1509,90
89,1318,4
90,708,3
91,547,16
92,744,11
93,1007,6
94,754,28
95,635,35
96,812,3
97,1125,26
98,814,2
99,1006,0
100,1319,59
101,1480,1
102,1376,34
103,71,24
104,435,36
105,1295,2
106,1318,1
107,1124,36
108,1274,12
109,1240,11
110,1201,88
111,932,0
112,929,3
113,1036,53
114,1375,0
115,1375,21
116,839,31
117,446,30
118,571,50
119,1375,4
120,701,1
121,1006,0
122,1509,0
123,664,19
124,1238,0
125,776,29
126,667,2
127,922,1
128,1082,11
129,1237,5
130,577,76
131,1608,14
132,569,45
133,771,14
134,1453,2
135,1174,66
136,1474,14
137,1618,7
138,424,11
139,1606,0
140,1357,7
141,1355,86
142,1377,33
143,1375,93
144,1374,59
145,1351,5
146,1479,43
147,1568,63
148,1485,12
149,1461,13
150,1520,72
151,870,3
152,1322,30
153,713,2
154,1125,3
155,1006,2
156,540,0
157,1375,7
158,1375,4
159,1057,82
160,1057,1
161,808,0
