item,idx
139.475_35.655,0
139.475_35.665,1
139.475_35.67,2
139.475_35.675,3
139.475_35.685,4
139.475_35.7,5
139.475_35.71,6
139.475_35.72,7
139.47_35.67,8
139.47_35.675,9
139.47_35.68,10
139.485_35.64,11
139.485_35.645,12
139.485_35.65,13
139.485_35.655,14
139.485_35.66,15
139.485_35.665,16
139.485_35.67,17
139.485_35.705,18
139.485_35.735,19
139.48_35.64,20
139.48_35.655,21
139.48_35.665,22
139.48_35.67,23
139.48_35.675,24
139.48_35.68,25
139.48_35.685,26
139.48_35.695,27
139.48_35.7,28
139.48_35.71,29
139.48_35.715,30
139.48_35.72,31
139.48_35.73,32
139.495_35.635,33
139.495_35.655,34
139.495_35.665,35
139.495_35.68,36
139.495_35.705,37
139.495_35.72,38
139.495_35.73,39
139.495_35.735,40
139.495_35.74,41
139.49_35.645,42
139.49_35.665,43
139.49_35.67,44
139.49_35.72,45
139.49_35.73,46
139.49_35.745,47
139.505_35.6,48
139.505_35.605,49
139.505_35.61,50
139.505_35.695,51
139.505_35.7,52
139.505_35.71,53
139.505_35.74,54
139.515_35.605,55
139.515_35.62,56
139.515_35.625,57
139.515_35.63,58
139.515_35.635,59
139.515_35.64,60
139.515_35.645,61
139.515_35.655,62
139.515_35.675,63
139.515_35.685,64
139.515_35.715,65
139.515_35.77,66
139.51_35.605,67
139.51_35.65,68
139.51_35.66,69
139.51_35.695,70
139.51_35.725,71
139.51_35.73,72
139.51_35.735,73
139.51_35.755,74
139.51_35.79,75
139.525_35.57,76
139.525_35.595,77
139.525_35.61,78
139.525_35.64,79
139.525_35.645,80
139.525_35.65,81
139.525_35.66,82
139.525_35.665,83
139.525_35.675,84
139.525_35.7,85
139.525_35.755,86
139.52_35.635,87
139.52_35.64,88
139.52_35.66,89
139.52_35.7,90
139.52_35.705,91
139.52_35.71,92
139.52_35.72,93
139.52_35.735,94
139.52_35.77,95
139.535_35.575,96
139.535_35.595,97
139.535_35.63,98
139.535_35.64,99
139.535_35.65,100
139.535_35.655,101
139.535_35.665,102
139.535_35.68,103
139.535_35.71,104
139.535_35.725,105
139.53_35.57,106
139.53_35.62,107
139.53_35.63,108
139.53_35.65,109
139.53_35.655,110
139.53_35.685,111
139.53_35.76,112
139.53_35.805,113
139.545_35.565,114
139.545_35.6,115
139.545_35.61,116
139.545_35.625,117
139.545_35.65,118
139.545_35.655,119
139.545_35.66,120
139.545_35.68,121
139.545_35.7,122
139.545_35.73,123
139.545_35.75,124
139.545_35.815,125
